district_name,measures,usage_area,apartments,living_area,estimated_costs
Mitte,11,28.9,58,41.1,43990
Friedrichshain-Kreuzberg,3,"– 1,7",7,4.0,1065
Pankow,29,49.2,81,70.2,27985
Charlottenburg-Wilmersdorf,26,16.7,296,252.9,88494
Spandau,8,"– 1,3",37,26.9,6702
Steglitz-Zehlendorf,16,17.6,1,8.9,10305
Tempelhof-Schöneberg,21,320.8,95,80.5,96783
Neukölln,13,"– 5,5",46,39.7,13708
Treptow-Köpenick,27,89.5,84,52.4,28058
Marzahn-Hellersdorf,15,85.9,164,69.1,18995
Lichtenberg,17,372.5,93,54.6,79856
Reinickendorf,13,3.5,7,9.5,3659
