type_index,type_parent_index,type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,256,879.2,1297,933.2,3507,434256
1,0,residential_buildings,229,183.7,1282,928.3,3493,205568
2,1,dormitories,2,1.3,191,50.0,219,9527
3,1,residential_buildings_with_condominium,30,8.7,123,146.3,489,41041
4,1,public_builders,4,-0.6,168,42.9,196,9461
5,1,companies,76,136.1,923,658.8,2449,135553
6,5,housing_companies,41,45.4,416,309.2,1112,63612
7,5,real_estate_funds,4,-1.1,6,8.5,28,3784
8,5,agriculture_forestry_animal_husbandry_fishing,0,0,0,0.0,0,0
9,5,manufacturing_industry,19,79.1,343,226.6,902,38299
10,5,trade_banking_services_insurance_transport_and_communications,12,12.7,158,114.5,407,29858
11,1,private_households,148,48.2,185,222.6,830,59299
12,1,non_profit_organizations,1,0,6,4.0,18,1255
13,0,non_residential_buildings,27,695.5,15,4.9,14,228688
14,13,institution_buildings,1,64,0,0.0,0,14390
15,13,office_and_administration_buildings,7,397.8,0,0.0,0,75733
16,13,algricultural_buildings,0,0,0,0.0,0,0
17,13,non_algricultural_buildings,8,52.8,4,1.2,4,70903
18,17,factory_and_workshop_buildings,1,4.2,0,0.0,0,2380
19,17,commercial_buildings,5,60.2,4,1.2,4,38398
20,17,warehouse_buildings,1,2.6,0,0.0,0,95
21,17,hotels_and_restaurants,1,-14.3,0,0.0,0,30030
22,13,other_non_residential_buildings,11,180.9,11,3.7,10,67662
23,13,selected_infrastructure_buildings,13,249.1,11,3.7,10,84432
24,13,public_builders,7,130.9,11,3.7,10,56424
25,13,companies,19,562.1,4,1.2,4,172256
26,25,housing_companies,5,77.3,0,0.0,0,10021
27,25,real_estate_funds,1,309.5,0,0.0,0,61556
28,25,agriculture_forestry_animal_husbandry_fishing,0,0,0,0.0,0,0
29,25,manufacturing_industry,2,6.9,0,0.0,0,2475
30,25,trade_banking_services_insurance_transport_and_communications,11,168.4,4,1.2,4,98204
31,13,private_households,0,0,0,0.0,0,0
32,13,non_profit_organisations,1,2.5,0,0.0,0,8
