type_index,type_parent_index,type,buildings,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,164,754,843.1,1200,815.7,3158,327787
1,0,residential_buildings,146,438,193.8,1188,811.4,3144,171496
2,1,residential_buildings_with_1_apartment,87,69,31.7,87,131.5,506,35783
3,1,residential_buildings_with_2_apartments,5,5,1.0,10,9.8,43,2042
4,1,residential_buildings_with_3_or_more_apartments,52,342,159.8,900,620.1,2376,124144
5,1,dormitories,2,22,1.3,191,50.0,219,9527
6,1,residential_buildings_with_condominium,10,49,16.5,88,90.9,374,22778
7,1,public_builders,1,20,1.3,165,41.0,187,9420
8,1,companies,58,331,149.5,891,606.7,2318,117915
9,8,housing_companies,32,158,55.4,404,289.2,1061,59301
10,8,real_estate_funds,1,0,0.0,1,1.2,5,535
11,8,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
12,8,manufacturing_industry,17,122,82.2,341,222.7,891,37838
13,8,trade_banking_services_insurance_transport_and_communications,8,50,12.0,145,93.6,361,20241
14,1,private_households,87,88,42.9,132,163.7,639,44161
15,1,non_profit_organizations,0,0,0.0,0,0.0,0,0
16,0,non_residential_buildings,18,316,649.4,12,4.3,14,156291
17,16,institution_buildings,1,15,64.0,0,0.0,0,14390
18,16,office_and_administration_buildings,5,175,383.2,0,0.0,0,71146
19,16,algricultural_buildings,0,0,0.0,0,0.0,0,0
20,16,non_algricultural_buildings,3,15,24.4,0,0.0,0,6604
21,20,factory_and_workshop_buildings,1,3,4.2,0,0.0,0,2380
22,20,commercial_buildings,1,11,17.5,0,0.0,0,4129
23,20,warehouse_buildings,1,1,2.6,0,0.0,0,95
24,20,hotels_and_restaurants,0,0,0.0,0,0.0,0,0
25,16,other_non_residential_buildings,9,111,177.8,12,4.3,14,64151
26,16,selected_infrastructure_buildings,11,129,246.0,12,4.3,14,80921
27,16,public_builders,6,90,130.3,12,4.3,14,52921
28,16,companies,12,226,519.1,0,0.0,0,103370
29,28,housing_companies,5,36,77.3,0,0.0,0,10021
30,28,real_estate_funds,1,140,309.5,0,0.0,0,61556
31,28,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
32,28,manufacturing_industry,2,4,6.9,0,0.0,0,2475
33,28,trade_banking_services_insurance_transport_and_communications,4,46,125.4,0,0.0,0,29318
34,16,private_households,0,0,0.0,0,0.0,0,0
35,16,non_profit_organisations,0,0,0.0,0,0.0,0,0
